,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic,age
1,lavern baker,still,1957,pop,place darling miss magic touch need share embrace darling grieve come darling leave heart ache break place darling,18,0.05443221508314601,0.0032894737432879215,0.0032894738527139357,0.0032894737187444734,0.0032894744278667586,0.0032894736846815053,0.49471008184047277,0.003289473787629792,0.0032894737507064326,0.0032894737493919302,0.0032894738149620117,0.08844723971174205,0.0032894737284834,0.0032894736914356156,0.3130683563324076,0.0032894739829047288,0.630672587458031,0.6364895008076301,0.780120261164921,5.3137651821862346e-06,0.7434047815333882,0.3042825761925697,romantic,0.9
2,the keynotes,i don't know,1957,pop,capital fiction total apocalypticon fashion arise mist pandemic sweat collective press magnetic tragic agriculture collude pool fade plasma station soul arrive plaque justly world fragment entirety press cloth baptisms stain collateral agnation streets bare footprints exist nonexistence heavy streetlight move adoration onethousand actually remember warm embrace populace evolve shift stimuli present tense forthcoming past breath keynote understand connection hallow existence void furthest vacuum imagination fathom sweat walk road damnation breeze future starlight graze mindset mind aloft cloud stain floorboards press cultural stagnation accomplish life vilify character time faction world cross glow watt light bulb refuse associate blue tint oneself feel real pride help feel like future decline pass stun cross lips conceal lose vast field apathy disguise risk lose know want care learn word sense slightest support need wish worse pity revolt learn waste precious emotion square meals truth secretly sicken society indulge witness beautiful destruction make fear deep masochist plead worst direct vicinity explore reactions populace longer stand premise live world reject statements cornholed imagination dreary depress spectrum effect like smog power plant glass pane spectacle defy expectations fact write good whiskey shout self understand breakthrough ramble fuck room sweat,191,0.00074128985064286,0.24287291521983864,0.38845019232353567,0.0007412898872589807,0.0007412898912634411,0.0007412898979897015,0.0007412899402107603,0.0007412898990445247,0.024623374252695274,0.023059187877216947,0.04144437488549866,0.1279973179157571,0.0007412898616466427,0.07708798183790248,0.0007412899067636774,0.051643547442723405,0.46387956243907724,0.7359946670768914,0.844377353792524,2.9251012145748984e-05,0.8928276999175597,0.6796696753692407,world/life,0.9
3,pradeep kumar,suno sunaoon tumhen ek kahani,1957,pop,time fight flip coin right gamble right arbitrarily resolve fight style gamble head tail lose head tail lose news play card deal play load dice roulette wheel pick race like see like slot machine match match money money know odds flip baby flip coin go change gamble game dealer load dice stack deck odds want flip right know head tail lose head tail lose news head tail lose head tail lose news,72,0.027193460333640118,0.19374858980699533,0.0011961723893520965,0.07593109205033327,0.0011961722615549811,0.0011961722532556405,0.0011961722530468121,0.0011961723582651924,0.32482345106402744,0.0011961723072936126,0.21685598491670577,0.00119617226910691,0.0011961722579470215,0.0011961723130736528,0.0011961722753521965,0.001196172362856598,0.7097368136033794,0.6647180986077994,0.9779116244092616,0.0,0.651690024732069,0.1911659303073329,obscene,0.9
4,norrie paramor,i'll see you in my dreams,1957,pop,purple dusk twilight time steal meadows heart high little star climb remind apart wander away leave song stardust yesterday music years go wonder spend lonely nights dream song haunt reverie kiss inspiration long consolation stardust song garden wall star bright arm nightingale tell fairytale paradise roses grow dream vain heart remain stardust memory refrain,54,0.0014619883265141796,0.0014619883529987624,0.14439469647017208,0.0014619884897584029,0.0014619883048821803,0.035332188010309795,0.06658858768911294,0.001461988437410205,0.001461988336031104,0.17798215211579219,0.0014619883611981122,0.180838472969566,0.001461988315399216,0.0014619883202231323,0.3758580541039486,0.0014619884217637407,0.07072457489440054,0.4623490500730711,0.9759035902646489,0.7085020242914979,0.06821929101401483,0.14611947840613237,sadness,0.9
5,les paul,"i surrender, dear",1957,pop,play game stay away cost surrender dear proud pose cause deep heart surrender dear little mean things game lend spice woo care blame star appear shadow fall hear poor heart life surrender dear life surrender dear,36,0.001949317749591792,0.0019493178054228112,0.20166188499835805,0.001949317763174736,0.0019493177489453399,0.09302134878387613,0.17118129838302537,0.0019493179229129064,0.0019493178726769336,0.05637869201743852,0.0019493178225624096,0.001949317965104073,0.0019493179428954647,0.0019493178231865102,0.45046632638043205,0.0019493177415481739,0.3923968374309542,0.6239007255852114,0.8955822244801451,0.7672064777327935,0.257007419620775,0.27325057599396496,sadness,0.9
6,jackie wilson,love is all,1959,pop,everybody live people understand neighbour like brother come join band need understand ring people know celebrate come feel hear need need butterfly ball ball nature countryside wear different face want hide easy easy butterfly ball easy need understand ring people know celebrate feel butterfly ball small free butterfly ball wall start fall lean sing butterfly ball butterfly ball,58,0.0011198209291569461,0.0011198209367482878,0.03879703132437714,0.0011198208353121511,0.09710245782303234,0.001119820860642011,0.001119820850509013,0.08741489022675412,0.3290646257610137,0.10397857098006792,0.0011198209302222036,0.0011198208634639246,0.1428872641638587,0.0011198209271609618,0.08357034365933708,0.03251363035407641,0.5158669988086212,0.6422839268774196,0.8785139342509382,1.2348178137651822e-05,0.2611294311624072,0.30628464072151196,obscene,0.8714285714285714
7,dion & the belmonts,no one knows,1959,pop,know tear cry smile pose heart break know friends learn truth want sympathy party dance show know maybe time walk hear prayer loneliness fade away darling tell stay pass hurt grow feel better know,34,0.001697792878952345,0.0016977929068306247,0.0016977930100927205,0.0016977929724987287,0.0016977928717833866,0.001697792889640522,0.037434593107800104,0.4652738867505785,0.049481176825589446,0.0016977929361483984,0.0016977929257340665,0.04622686333468795,0.0016977928912374192,0.0016977929026246836,0.37781437885159724,0.0016977929840659386,0.3707354056103108,0.6938440632771837,0.8293170977079295,0.004868421052631579,0.14365210222588623,0.3162949633662232,sadness,0.8714285714285714
8,ricky nelson,it's late,1959,pop,late late gotta home late late go long shoulda check time phone phone spend dime late late bout outta late late gotta home fast speed speed slowdown zone baby look clock wrong coulda leave home quarter woulda plenty time start little late date look look moon look like late late hate face know gonna late late gotta home late late go long late late bout outta late late gotta home fast speed speed slowdown zone baby look clock wrong coulda leave home quarter woulda plenty time start little late date look look moon look like late late hate face know gonna late late gotta home late late go long late,110,0.028408343562160043,0.0005720824112853411,0.0005720823927975164,0.473143621161152,0.0005720823832277269,0.026887241563068997,0.0005720823818846736,0.0005720824164279261,0.11812700759490084,0.08557310579014644,0.0005720824086700612,0.026485995137681358,0.0005720823798632875,0.12203234854022185,0.0005720824015851374,0.02810248488745444,0.598180439727066,0.7060226136451042,0.7901604318879839,0.0,0.8660346248969498,0.7897832244610642,night/time,0.8714285714285714
9,fats domino,it's the talk of the town,1960,pop,body know leave talk face place people stop stare hard everybody know leave talk time meet heart skip beat stop speak week everybody know leave talk send invitations friends relations announce wed friends relations give congratulations face sweetheart stay apart foolish pride like end talk send invitations friends relations announce wed friends relations give congratulations face sweetheart stay apart foolish pride like end talk,64,0.0010964912434698485,0.0010964912933013838,0.001096491287015097,0.001096491298956561,0.041309621870816556,0.0010964912567763335,0.0010964912449430045,0.3994612785668305,0.0010964913115897505,0.0010964912446181127,0.04943811619925904,0.0010964912619999153,0.06753121964978799,0.06352656509060907,0.31705175838143373,0.0010964912298545664,0.500703996534171,0.4826551803707406,0.5893570174267245,0.0,0.5651277823577906,0.18315767219156392,sadness,0.8571428571428571
10,sam cooke,unchained melody,1960,pop,darling hunger touch long lonely time time go slowly time need need speed lonely rivers flow open lonely rivers sigh come home darling hunger touch long lonely time time go slowly time need need speed,35,0.0017543862539009369,0.0017543860070171689,0.0017543860175036293,0.37856269649923585,0.12371749305745901,0.001754385987859263,0.1915890316169832,0.0017543859881026642,0.0017543860204725717,0.05395520157689939,0.001754386021136733,0.0017543860605944935,0.0017543859838679294,0.0017543859657435106,0.13366996927612898,0.06205969382785351,0.2494313874147081,0.5476501807553265,0.9106424805647396,3.2186234817813766e-05,0.18384171475680128,0.16614012369555484,night/time,0.8571428571428571
