analyzer_version,artist_7digitalid,artist_familiarity,artist_hotttnesss,artist_id,artist_latitude,artist_location,artist_longitude,artist_mbid,artist_name,artist_playmeid,genre,idx_artist_terms,idx_similar_artists,release,release_7digitalid,song_hotttnesss,song_id,title,track_7digitalid
b'',165270,0.5817937658450281,0.4019975433642836,b'ARD7TVE1187B99BFB1',,b'California - LA',,b'e77e51a5-4761-45b3-9847-2051f811e366',b'Casual',4479,b'',0,0,b'Fear Itself',300848,0.6021199899057548,b'SOMZWCG12A8C13C480',"b""I Didn't Mean To""",3401791
b'',1998,0.6306300375898077,0.4174996449709784,b'ARMJAGH1187FB546F3',35.14968,"b'Memphis, TN'",-90.04892,b'1c78ab62-db33-4433-8d0b-7c8dcf1849c2',b'The Box Tops',22066,b'',0,0,b'Dimensions',300822,,b'SOCIWDW12A8C13D406',b'Soul Deep',3400270
b'',290021,0.4873567909281477,0.34342837829688244,b'ARKRRTF1187B9984DA',,b'',,b'7a273984-edd9-4451-9c4d-39b38f05ebcd',b'Sonora Santanera',13951,b'',0,0,b'Las Numero 1 De La Sonora Santanera',514953,,b'SOXVLOJ12AB0189215',b'Amor De Cabaret',5703798
b'',19072,0.6303823341467806,0.4542311565706205,b'AR7G5I41187FB4CE6C',,"b'London, England'",,b'e188a520-9cb7-4f73-a3d7-2f70c6538e92',b'Adam Ant',12697,b'',0,0,b'Friend Or Foe',287650,,b'SONHOTT12A8C13493C',b'Something Girls',3226795
b'',30973,0.6510456608317947,0.40172368550367865,b'ARXR32B1187FB57099',,b'',,b'c6903a2e-063c-4f91-a284-17b8f421be7b',b'Gob',8355,b'',0,0,b'Muertos Vivos',611336,0.6045007385888197,b'SOFSOCN12A8C143F5D',b'Face the Ashes',6795666
b'',432935,0.5352927355118197,0.385470550555821,b'ARKFYS91187B98E58F',,b'',,b'79c403f9-5467-4f23-8426-9ca3fc60a115',b'Jeff And Sheri Easter',63801,b'',0,0,b'Ordinary Day',41838,,b'SOYMRWW12A6D4FAB14',b'The Moon And I (Ordinary Day Album Version)',444964
b'',17970,0.5564956019129572,0.2619411773808474,b'ARD0S291187B9B7BF5',,b'Ohio',,b'56503d6d-094e-4c28-ae3d-04cc748ade5b',b'Rated R',-1,b'',0,0,b'Da Ghetto Psychic',25824,,b'SOMJBYD12A6D4F8557',b'Keepin It Real (Skit)',276593
b'',21128,0.8011364469966873,0.6055071356905752,b'AR10USD1187B99F3F1',,"b'Burlington, Ontario, Canada'",,b'd89de379-665d-425c-b2e9-41b95d1edb36',b'Tweeterfriendly Music',-1,b'',0,0,b'Gin & Phonic',8876,,b'SOHKNRJ12A6701D1F8',b'Drop of Rain',90004
b'',276891,0.42666785706940524,0.33227574659906806,b'AR8ZCNI1187B9A069B',,b'',,b'19d232b9-b4d7-4dc8-b259-bf65efb655b1',b'Planet P Project',-1,b'',0,0,b'Pink World',358182,0.26586104921065007,b'SOIAZJW12AB01853F1',b'Pink World',3996579
b'',242273,0.5505136978482137,0.42270564102939107,b'ARNTLGG11E2835DDB9',,b'',,b'4d96f7d0-2f0e-4e92-ba70-a405f96f8cec',b'Clp',-1,b'',0,0,b'Superinstrumental',692313,,b'SOUDSGM12AC9618304',b'Insatiable (Instrumental Version)',7684249
b'',60488,0.3600311664643514,0.29626895431146333,b'ARGSJW91187B9B1D6B',35.21962,b'North Carolina',-80.01955,b'eb722df4-372e-4742-8586-f7ff658012d6',b'JennyAnyKind',-1,b'',0,0,b'I Need You',539081,0.0,b'SOQHXMF12AB0182363',b'Young Boy Blues',5967937
b'',4923,0.5451592956008632,0.35155586118563925,b'ARC43071187B990240',,"b'Wisner, LA'",,b'001a1d90-56dc-4992-bd7d-970ecd7105d0',b'Wayne Watson',17334,b'',0,0,b'The Way Home',163874,0.26586104921065007,b'SOKEJEJ12A8C13E0D0',b'The Urgency (LP Version)',1735859
b'',88523,0.5775089743252977,0.3794821702804675,b'ARL7K851187B99ACD2',,b'',,b'572d6bb7-58cc-4a96-8e5c-58eae4739190',b'Andy Andy',14303,b'',0,0,b'Placer & Castigo',575792,0.0,b'SOMUYGI12AB0188633',b'La Culpa',6381162
b'',327171,0.08551204710857879,0.25193652476242323,b'ARHHO3O1187B989413',,b'',,b'e870caaf-3650-4ed8-9ca1-1ac36419abb0',b'Bob Azzam',-1,b'',0,0,b'Arrivederci',815863,0.0,b'SORAMLE12AB017C8B0',b'Auguri Cha Cha',9014963
b'',237,0.7766758556845541,0.5530719914619753,b'ARIK43K1187B9AE54C',,"b'Beverly Hills, CA'",,b'3cb25fb2-5547-4b05-adec-1a5e37830d46',b'Lionel Richie',-1,b'',0,0,b'Dancing On The Ceiling',25811,,b'SOBONFF12A6D4F84D8',b'Tonight Will Be Alright',276438
b'',3950,0.6364236449500698,0.4479354804795022,b'ARD842G1187B997376',43.64856,"b'Toronto, Ontario, Canada'",-79.38533,b'6b52e1be-f27a-433c-b51a-3f2d63abc2ba',b'Blue Rodeo',-1,b'',0,0,b'Outskirts',135122,0.4051157216913865,b'SOHUOAP12A8AE488E9',b'Floating',1399936
