,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic,age
5135,abba,love isn't easy (but it sure is hard enough),1973,pop,remember time sweet sweet talk hear look make leave morning hardly say goodbye choose wouldn time grow darling know gotta sensation time get rough easy sure hard sweet sweet bittersweet give reason live things tough easy sure hard sweet sweet bittersweet moment treat like queen give lot present listen look think talk choose wouldn time grow darling know gotta sensation time get rough easy sure hard sweet sweet bittersweet give reason live sweet sweet bittersweet sweet sweet bittersweet things tough easy sure hard sweet sweet bittersweet sweet sweet bittersweet sensation sweet sweet bittersweet time get rough easy sure hard sweet sweet bittersweet give reason live sweet sweet bittersweet sweet sweet bittersweet things tough easy sure hard sweet sweet bittersweet,119,0.0005159958760182805,0.0005159958811562203,0.214904682554507,0.0005159959163453906,0.0005159958738200068,0.0005159959019358098,0.31916758951779073,0.31210006829425657,0.0005159958881164972,0.0005159958921714605,0.0005159958987552546,0.0005159958823499508,0.0005159958755196949,0.030967746208451066,0.0005159958848720195,0.0005159959094596839,0.7281490306509262,0.6266953824064815,0.09196695980618455,0.0,0.9649629018961252,0.5905778038313108,romantic,0.6714285714285714
16342,lady gaga,the fame,2008,pop,help addict life material kind joke obsessively oppose typical care runway model cadillacs liquor bottle wanna retro glamour hollywood live fame fame doin fame fame cause wanna live life famous fame fame doin fame fame cause taste champagne endless fame fame baby fame fame live fame fame baby fame fame shame shame baby shame shame fame fame baby fame fame movies picture city light photograph mind like shoot decide care pornographic girls film body plastic wanna television blondes position fame fame doin fame fame cause wanna live life famous fame fame doin fame fame cause taste champagne endless fame fame baby fame fame live fame fame baby fame fame shame shame baby shame shame fame fame baby fame fame gonna happen time teenage dream tonight yeah gonna happen time fame fame doin fame cause wanna live life famous fame fame doin fame fame cause wanna live life famous fame fame doin fame fame cause taste champagne endless fame fame doin fame fame cause wanna live life famous fame fame doin fame fame cause taste champagne endless,176,0.10600977686614291,0.0006265664435805722,0.3635719279142999,0.030882303431730596,0.01332222018072406,0.0006265664459563482,0.0006265664478740363,0.0006265664519646141,0.2828065435113991,0.0006265664169313496,0.0006265664599045813,0.0006265664808370878,0.0006265664185851988,0.04038378084142366,0.0006265664276485761,0.0006265664174393927,0.8147947579334995,0.8286029279798989,0.03574200375703188,3.4008097165991905e-06,0.9670239076669415,0.6796696753692407,world/life,0.17142857142857143
19396,taylor swift,i did something bad,2017,pop,trust narcissist play like violin look ohsoeasy cause tell tell world work think feel flame skin crimson paint lips talk shit regret cause come feel good feel good felt good good dada dada trust playboy world think save comin world work gotta leave leave feel flame skin say throw away good thing drop nothin spend change comin badoh feel good feel good felt good good felt good dada dada burn witch aren pitchfork proof receipt reason burn witch aren light light light light light ahead light light light light light light light light light feel good feel good felt good good dada dada feel good good feel good feel feel good felt good good,114,0.0005482456314757371,0.0005482456467035241,0.09195952503385903,0.0005482456269845774,0.0005482456186304275,0.000548245669681466,0.010912105680222073,0.09696920740796652,0.1456590175308631,0.0005482456265662956,0.0005482456376398251,0.2722179496097597,0.0005482456171976372,0.0005482456511242546,0.0005482456604169373,0.37515500146860337,0.6869923101917037,0.7563777145347793,0.0681717551925253,2.1356275303643726e-05,0.2899835119538335,0.6025901910049642,feelings,0.04285714285714286
20290,lefty frizzell,if you've got the money i've got the time,1950,country,money time honky tonkin time night spot dance drink beer wine money time tarry start tonight spread spread right baby line money time money time honky tonkin time bring cadillac leave wreck money time honky tonkin club dark fool short money short time cause money time money time honky tonkin time night spot dance drink beer wine money time,59,0.022812802760810384,0.0010741138774035864,0.0010741138784401277,0.3525039110622927,0.00107411385865926,0.0010741138685335645,0.001074113865244643,0.0010741138788851288,0.3497062934297443,0.001074113881663967,0.17901198546990862,0.08092741311070735,0.0010741138639546158,0.001074113865285166,0.0010741138984408935,0.001074113856534657,0.5234484999458465,0.655488039381586,0.8333331659971547,9.524291497975709e-05,0.9556883759274525,0.3923734154660285,night/time,1.0
20382,johnny cash,the loving gift,1952,country,give blanket cold give song learn sing show beauty windows soul show world see give give away spend precious time know borrow give courage live yesterday give tomorrow bring candle light erase shadow see bring pillow rest weary head teach gentle dream leave richer richer love gift give give blanket cold give baby,53,0.029830882662918883,0.07351515147817808,0.6800880290284979,0.0013157895125177751,0.0013157894767951506,0.0013157894813749596,0.03241279663202911,0.0013157895365657412,0.0013157894995890116,0.08767443483527187,0.001315789519522699,0.07937344182616342,0.0013157894802204135,0.0013157894903646418,0.001315789594770188,0.0013157894754490186,0.47687642153146326,0.5600851216573084,0.8845380366847758,0.00019736842105263157,0.3476916735366859,0.1911659303073329,world/life,0.9714285714285714
20569,marty robbins,bouquet of roses,1957,country,send bouquet roses time break heart door close tear fall like pedal beg different untrue tire forgive leave send bouquet roses time break heart lovers road sorrow goodbye leave face tomorrow heart tought know hate bitter send bouquet roses time break heart,42,0.0016447368586329097,0.0016447370051019343,0.1698867823356952,0.07648163980340326,0.0016447368457679114,0.0016447368589757353,0.060028413366250775,0.0016447369755121434,0.0016447369509539215,0.0016447368753869634,0.0016447369897920486,0.0016447368768548346,0.09565524555511608,0.001644737029034991,0.5749216022919932,0.0016447368482676132,0.6230910863208059,0.6933056431556546,0.6847386392958227,0.0,0.6939406430338004,0.34332283450694345,sadness,0.9
39735,ella fitzgerald,i've got a crush on you,1950,blues,hmmmmm crush guess crush sweetie night time sign notion fall emotion care cunning cottage share world pardon mush cause crush baby million ralish millionairs carish capture persistence wear resistance fell swell brave handsome shall know attractive heart grow active come view crush sweetie nighttime sigh notion fall emotion care cunning cottage share world pardon mush cause crush baby,58,0.11739548722309656,0.001949317796504767,0.33298087626436385,0.07652704869960439,0.0019493177532362229,0.0019493177522468522,0.0019493179686808579,0.13772713844648432,0.0019493178024124896,0.001949317771734308,0.001949317882451181,0.001949317893168899,0.04867268577343082,0.0019493178769491098,0.2613556320813379,0.001949317743547606,0.3252463987869599,0.5548803938158602,0.9899598292769372,0.0,0.2508244023083265,0.09596776195612915,world/life,1.0
40136,b.b. king,boogie woogie woman,1957,blues,boogiewoogie woman boogiewoogie time boogiewoogie woman boogiewoogie time boogyin bind lose mind boogie mornin boogie night long boogie mornin boogie night long goin strong boogie mornin boogie late night boogie mornin boogie late night mind boogyin cause boogyin right bogiewoogie woman boogie time bogiewoogie woman boogie time boogyin bind lose mind,51,0.0016447368489789717,0.0016447369202153095,0.0016447369086079583,0.5363528751420462,0.0016447368508398607,0.3830460158011979,0.0016447373891168176,0.0016447368847784987,0.0016447368690612144,0.0016447368622387172,0.0016447369111346258,0.0016447368693033807,0.001644736988643179,0.0016447368513358136,0.0016447369445892306,0.0016447371800591018,0.4075598397054045,0.7794272235469065,0.5200798394375898,0.0,0.5403957131079966,0.943942193189617,night/time,0.9
42589,jethro tull,living in the past,1969,blues,smile walk mile drink water know walk shout disaaaster live past join girl friend revolution know fight close eye outside live faaaster live past join girl friend revolution know fight close eye outside live faaaster live past live past live past,41,0.0015479876350337734,0.23658488921695783,0.35817470968220655,0.0015479876408015807,0.0015479876203224254,0.0015479876172228041,0.0015479877313055105,0.12729193354872095,0.0015479876475956202,0.001547987630930732,0.061123719126124305,0.0015479877548501182,0.0015479876377665356,0.10007008995808957,0.09663081873944566,0.0015479876238707589,0.676161594281382,0.6315668025536496,0.21686668360108802,1.9129554655870443e-05,0.9701154163231657,0.4884725128552562,world/life,0.7285714285714285
54538,thelonious monk,let's call this,1954,jazz,hello check leader street dreamer best watch better step guard gold grill protect neck cardiac arrest kevlar vest invest gold momma say rudeness aurelius thelonius monk stage raise gradient closer lose moment deeper beat need know tell want smile baby loner go like soze start limp move start gift song start wish go tear stone liar situation dire turn burn loyal blood give snub live star fall begin till part cause people people dumb ignorance fuck party politics spit pulpits watch hips linger real kiss real shit fight cause come lose call line pawn throne mess home trust fuck stick heart tiger overlook book cry messiah frontlines cover lie trust undermine truth surprise send death ride pride right,118,0.024357617514290504,0.2190834525405749,0.0006835270650712896,0.0006835270674138307,0.0006835270555496062,0.0006835270101675566,0.021277519212832895,0.0006835270574177502,0.3074584399496275,0.030248852920486805,0.10051042273087779,0.05750116272411899,0.049078924792416816,0.0006835270331352933,0.16388304027872796,0.0006835270867562069,0.5895158669988086,0.606902033176935,0.8192769269848665,0.0,0.48680956306677664,0.33231147959776114,obscene,0.9428571428571428
